sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
141;BME280;65;48.779;9.160;2017-07-01T04:08:29;97913.46;;;17.91;65.22
141;BME280;65;48.779;9.160;2017-07-01T04:10:56;97914.36;;;17.95;64.63
141;BME280;65;48.779;9.160;2017-07-01T04:13:21;97919.38;;;17.84;65.06
141;BME280;65;48.779;9.160;2017-07-01T04:15:47;97924.84;;;17.91;65.08
141;BME280;65;48.779;9.160;2017-07-01T04:18:29;97919.92;;;17.88;65.41
141;BME280;65;48.779;9.160;2017-07-01T04:20:52;97918.09;;;17.79;65.91
141;BME280;65;48.779;9.160;2017-07-01T04:23:13;97919.89;;;17.79;65.84
141;BME280;65;48.779;9.160;2017-07-01T04:25:40;97920.16;;;17.85;65.57
141;BME280;65;48.779;9.160;2017-07-01T04:28:05;97923.30;;;18.03;64.63
141;BME280;65;48.779;9.160;2017-07-01T04:30:32;97911.33;;;18.14;63.98
141;BME280;65;48.779;9.160;2017-07-01T04:32:57;97922.11;;;18.02;65.08
141;BME280;65;48.779;9.160;2017-07-01T04:35:23;97916.89;;;18.11;64.23
141;BME280;65;48.779;9.160;2017-07-01T04:37:52;97921.12;;;17.89;65.43
141;BME280;65;48.779;9.160;2017-07-01T04:40:38;97924.84;;;17.91;65.53
141;BME280;65;48.779;9.160;2017-07-01T04:43:14;97935.04;;;18.05;64.78
141;BME280;65;48.779;9.160;2017-07-01T04:45:39;97935.66;;;18.03;64.87
141;BME280;65;48.779;9.160;2017-07-01T04:48:11;97929.08;;;18.21;63.62
141;BME280;65;48.779;9.160;2017-07-01T04:53:07;97934.37;;;17.88;65.44
141;BME280;65;48.779;9.160;2017-07-01T04:55:34;97943.63;;;18.02;64.63
141;BME280;65;48.779;9.160;2017-07-01T04:58:04;97949.39;;;18.11;64.33
141;BME280;65;48.779;9.160;2017-07-01T05:00:36;97947.84;;;18.13;64.26
141;BME280;65;48.779;9.160;2017-07-01T05:02:58;97948.03;;;18.21;64.00
141;BME280;65;48.779;9.160;2017-07-01T05:08:38;97952.47;;;17.97;64.99
141;BME280;65;48.779;9.160;2017-07-01T05:11:03;97949.45;;;18.10;64.67
141;BME280;65;48.779;9.160;2017-07-01T05:13:27;97952.11;;;18.24;63.73
141;BME280;65;48.779;9.160;2017-07-01T05:16:00;97947.92;;;18.31;63.64
141;BME280;65;48.779;9.160;2017-07-01T05:18:24;97956.55;;;18.33;63.66
141;BME280;65;48.779;9.160;2017-07-01T05:20:52;97960.73;;;18.21;64.54
141;BME280;65;48.779;9.160;2017-07-01T05:23:21;97960.47;;;18.38;63.91
141;BME280;65;48.779;9.160;2017-07-01T05:25:59;97957.55;;;18.22;64.32
141;BME280;65;48.779;9.160;2017-07-01T05:28:27;97958.71;;;18.47;63.09
141;BME280;65;48.779;9.160;2017-07-01T05:31:07;97966.55;;;18.53;62.73
141;BME280;65;48.779;9.160;2017-07-01T05:33:39;97970.96;;;18.34;63.67
141;BME280;65;48.779;9.160;2017-07-01T05:36:05;97960.26;;;18.63;62.89
141;BME280;65;48.779;9.160;2017-07-01T05:38:48;97971.90;;;18.70;62.31
141;BME280;65;48.779;9.160;2017-07-01T05:41:31;97971.60;;;18.73;62.08
141;BME280;65;48.779;9.160;2017-07-01T05:43:56;97972.97;;;18.64;62.73
141;BME280;65;48.779;9.160;2017-07-01T05:46:40;97974.48;;;18.66;62.66
141;BME280;65;48.779;9.160;2017-07-01T05:49:06;97975.85;;;18.57;63.04
141;BME280;65;48.779;9.160;2017-07-01T05:51:38;97972.59;;;18.72;61.77
141;BME280;65;48.779;9.160;2017-07-01T05:54:02;97975.39;;;19.07;60.90
141;BME280;65;48.779;9.160;2017-07-01T05:56:27;97979.13;;;19.00;61.08
141;BME280;65;48.779;9.160;2017-07-01T05:58:57;97989.23;;;19.19;60.54
141;BME280;65;48.779;9.160;2017-07-01T06:01:21;97982.50;;;19.02;60.58
141;BME280;65;48.779;9.160;2017-07-01T06:03:44;97984.55;;;18.58;61.92
141;BME280;65;48.779;9.160;2017-07-01T06:06:18;97982.88;;;18.52;61.86
141;BME280;65;48.779;9.160;2017-07-01T06:08:40;97985.34;;;18.77;61.20
141;BME280;65;48.779;9.160;2017-07-01T06:11:12;97988.33;;;18.92;60.44
141;BME280;65;48.779;9.160;2017-07-01T06:13:53;97990.42;;;19.02;60.01
141;BME280;65;48.779;9.160;2017-07-01T06:16:34;97993.08;;;18.88;61.16
141;BME280;65;48.779;9.160;2017-07-01T06:18:50;97993.91;;;18.80;61.50
141;BME280;65;48.779;9.160;2017-07-01T06:21:37;98000.39;;;18.53;62.08
141;BME280;65;48.779;9.160;2017-07-01T06:24:06;97996.50;;;18.85;60.65
141;BME280;65;48.779;9.160;2017-07-01T06:29:46;98003.70;;;19.28;59.21
141;BME280;65;48.779;9.160;2017-07-01T06:32:19;98002.49;;;19.31;59.10
141;BME280;65;48.779;9.160;2017-07-01T06:37:48;98000.59;;;19.15;60.02
141;BME280;65;48.779;9.160;2017-07-01T06:39:42;98006.53;;;19.31;58.82
141;BME280;65;48.779;9.160;2017-07-01T06:42:15;97999.55;;;19.48;58.20
141;BME280;65;48.779;9.160;2017-07-01T06:44:38;97998.48;;;19.19;59.25
141;BME280;65;48.779;9.160;2017-07-01T06:47:04;98003.00;;;19.53;57.41
141;BME280;65;48.779;9.160;2017-07-01T06:49:40;98003.48;;;19.53;57.50
141;BME280;65;48.779;9.160;2017-07-01T06:52:11;98005.63;;;19.31;58.08
141;BME280;65;48.779;9.160;2017-07-01T06:54:25;98005.67;;;19.35;57.43
141;BME280;65;48.779;9.160;2017-07-01T06:56:50;97996.48;;;19.34;57.83
141;BME280;65;48.779;9.160;2017-07-01T06:59:26;98005.72;;;19.39;57.48
141;BME280;65;48.779;9.160;2017-07-01T07:01:41;98013.66;;;19.44;57.42
141;BME280;65;48.779;9.160;2017-07-01T07:04:07;98008.44;;;19.43;58.06
141;BME280;65;48.779;9.160;2017-07-01T07:06:33;98010.44;;;19.27;58.09
141;BME280;65;48.779;9.160;2017-07-01T07:09:07;98009.80;;;19.47;57.33
141;BME280;65;48.779;9.160;2017-07-01T07:11:30;98009.70;;;19.48;56.97
141;BME280;65;48.779;9.160;2017-07-01T07:13:56;98002.47;;;19.36;57.11
141;BME280;65;48.779;9.160;2017-07-01T07:16:22;98004.53;;;19.29;57.34
141;BME280;65;48.779;9.160;2017-07-01T07:18:48;98003.31;;;19.01;58.85
141;BME280;65;48.779;9.160;2017-07-01T07:21:13;98002.77;;;19.33;57.76
141;BME280;65;48.779;9.160;2017-07-01T07:23:39;98001.47;;;19.28;57.92
141;BME280;65;48.779;9.160;2017-07-01T07:26:05;98007.84;;;19.44;57.38
141;BME280;65;48.779;9.160;2017-07-01T07:28:31;98009.48;;;19.59;56.82
141;BME280;65;48.779;9.160;2017-07-01T07:30:57;98007.71;;;19.46;56.71
141;BME280;65;48.779;9.160;2017-07-01T07:33:23;98010.40;;;19.50;56.68
141;BME280;65;48.779;9.160;2017-07-01T07:35:49;98021.42;;;19.63;55.69
141;BME280;65;48.779;9.160;2017-07-01T07:38:15;98026.65;;;19.64;55.25
141;BME280;65;48.779;9.160;2017-07-01T07:40:40;98021.61;;;19.66;55.54
141;BME280;65;48.779;9.160;2017-07-01T07:43:06;98029.91;;;19.58;55.23
141;BME280;65;48.779;9.160;2017-07-01T07:45:32;98029.30;;;19.64;55.32
141;BME280;65;48.779;9.160;2017-07-01T07:47:58;98025.84;;;19.59;55.72
141;BME280;65;48.779;9.160;2017-07-01T07:50:24;98036.98;;;19.66;55.65
141;BME280;65;48.779;9.160;2017-07-01T07:52:50;98033.23;;;19.55;55.46
141;BME280;65;48.779;9.160;2017-07-01T07:55:16;98030.66;;;19.68;55.57
141;BME280;65;48.779;9.160;2017-07-01T07:57:42;98028.95;;;19.72;55.36
141;BME280;65;48.779;9.160;2017-07-01T08:00:08;98036.49;;;19.49;56.42
141;BME280;65;48.779;9.160;2017-07-01T08:02:34;98038.28;;;19.71;55.27
141;BME280;65;48.779;9.160;2017-07-01T08:04:59;98033.38;;;19.94;54.20
141;BME280;65;48.779;9.160;2017-07-01T08:07:25;98036.34;;;19.95;54.60
141;BME280;65;48.779;9.160;2017-07-01T08:09:51;98041.84;;;19.97;54.58
141;BME280;65;48.779;9.160;2017-07-01T08:12:17;98042.40;;;19.96;54.09
141;BME280;65;48.779;9.160;2017-07-01T08:14:43;98049.24;;;19.85;54.84
141;BME280;65;48.779;9.160;2017-07-01T08:17:09;98047.56;;;20.01;53.73
141;BME280;65;48.779;9.160;2017-07-01T08:19:35;98051.55;;;20.23;53.62
141;BME280;65;48.779;9.160;2017-07-01T08:22:01;98052.55;;;20.40;53.10
141;BME280;65;48.779;9.160;2017-07-01T08:24:27;98057.14;;;20.47;53.11
141;BME280;65;48.779;9.160;2017-07-01T08:26:53;98052.86;;;20.41;52.83
141;BME280;65;48.779;9.160;2017-07-01T08:29:18;98057.07;;;20.51;52.69
141;BME280;65;48.779;9.160;2017-07-01T08:31:44;98044.70;;;20.69;52.64
141;BME280;65;48.779;9.160;2017-07-01T08:34:10;98059.82;;;20.51;53.83
141;BME280;65;48.779;9.160;2017-07-01T08:36:36;98064.97;;;20.65;52.21
141;BME280;65;48.779;9.160;2017-07-01T08:39:02;98059.92;;;20.97;50.89
141;BME280;65;48.779;9.160;2017-07-01T08:41:28;98064.70;;;20.93;50.52
141;BME280;65;48.779;9.160;2017-07-01T08:43:54;98065.34;;;20.74;51.41
141;BME280;65;48.779;9.160;2017-07-01T08:46:20;98049.38;;;20.66;51.42
141;BME280;65;48.779;9.160;2017-07-01T08:48:46;98052.83;;;20.88;51.31
141;BME280;65;48.779;9.160;2017-07-01T08:51:12;98057.01;;;21.12;50.12
141;BME280;65;48.779;9.160;2017-07-01T08:53:38;98057.45;;;20.90;50.88
141;BME280;65;48.779;9.160;2017-07-01T08:56:03;98053.83;;;21.04;51.00
141;BME280;65;48.779;9.160;2017-07-01T08:58:29;98049.79;;;21.30;49.79
141;BME280;65;48.779;9.160;2017-07-01T09:00:55;98051.00;;;21.40;48.53
141;BME280;65;48.779;9.160;2017-07-01T09:03:21;98044.24;;;21.65;48.30
141;BME280;65;48.779;9.160;2017-07-01T09:05:47;98054.45;;;21.57;48.02
141;BME280;65;48.779;9.160;2017-07-01T09:08:13;98055.27;;;21.54;48.57
141;BME280;65;48.779;9.160;2017-07-01T09:10:39;98055.30;;;21.41;48.47
141;BME280;65;48.779;9.160;2017-07-01T09:13:05;98062.56;;;21.31;48.87
141;BME280;65;48.779;9.160;2017-07-01T09:15:31;98056.07;;;21.21;50.03
141;BME280;65;48.779;9.160;2017-07-01T09:17:57;98059.77;;;21.19;49.63
141;BME280;65;48.779;9.160;2017-07-01T09:20:23;98062.69;;;20.91;50.97
141;BME280;65;48.779;9.160;2017-07-01T09:22:48;98060.86;;;21.17;49.54
141;BME280;65;48.779;9.160;2017-07-01T09:25:14;98066.76;;;21.07;50.17
141;BME280;65;48.779;9.160;2017-07-01T09:27:40;98075.23;;;21.28;48.84
141;BME280;65;48.779;9.160;2017-07-01T09:30:06;98064.63;;;20.98;50.33
141;BME280;65;48.779;9.160;2017-07-01T09:32:32;98071.22;;;21.07;50.21
141;BME280;65;48.779;9.160;2017-07-01T09:34:58;98062.32;;;21.29;48.67
141;BME280;65;48.779;9.160;2017-07-01T09:37:24;98065.45;;;20.98;50.54
141;BME280;65;48.779;9.160;2017-07-01T09:39:50;98065.75;;;21.04;49.50
141;BME280;65;48.779;9.160;2017-07-01T09:42:16;98071.96;;;20.91;51.13
141;BME280;65;48.779;9.160;2017-07-01T09:44:41;98071.87;;;21.01;50.54
141;BME280;65;48.779;9.160;2017-07-01T09:47:07;98077.95;;;21.10;50.00
141;BME280;65;48.779;9.160;2017-07-01T09:49:33;98074.17;;;21.34;49.43
141;BME280;65;48.779;9.160;2017-07-01T09:51:59;98074.93;;;21.35;49.37
141;BME280;65;48.779;9.160;2017-07-01T09:54:25;98081.64;;;21.63;48.48
141;BME280;65;48.779;9.160;2017-07-01T09:56:51;98073.62;;;21.76;48.01
141;BME280;65;48.779;9.160;2017-07-01T09:59:17;98068.59;;;21.49;49.79
141;BME280;65;48.779;9.160;2017-07-01T10:01:43;98082.86;;;21.56;49.00
141;BME280;65;48.779;9.160;2017-07-01T10:04:09;98082.73;;;21.69;49.22
141;BME280;65;48.779;9.160;2017-07-01T10:06:34;98077.94;;;21.77;48.38
141;BME280;65;48.779;9.160;2017-07-01T10:09:00;98078.20;;;21.87;48.02
141;BME280;65;48.779;9.160;2017-07-01T10:11:26;98078.77;;;21.78;48.61
141;BME280;65;48.779;9.160;2017-07-01T10:13:52;98081.27;;;21.87;48.06
141;BME280;65;48.779;9.160;2017-07-01T10:16:18;98086.55;;;22.08;47.42
141;BME280;65;48.779;9.160;2017-07-01T10:18:44;98090.30;;;22.06;46.88
141;BME280;65;48.779;9.160;2017-07-01T10:21:10;98088.36;;;21.91;47.16
141;BME280;65;48.779;9.160;2017-07-01T10:23:36;98094.13;;;22.24;47.35
141;BME280;65;48.779;9.160;2017-07-01T10:26:02;98100.09;;;22.10;47.83
141;BME280;65;48.779;9.160;2017-07-01T10:28:28;98094.94;;;22.37;46.72
141;BME280;65;48.779;9.160;2017-07-01T10:30:53;98093.87;;;22.30;47.01
141;BME280;65;48.779;9.160;2017-07-01T10:33:19;98095.18;;;22.02;48.23
141;BME280;65;48.779;9.160;2017-07-01T10:35:45;98098.17;;;22.03;48.16
141;BME280;65;48.779;9.160;2017-07-01T10:38:11;98105.91;;;22.38;47.24
141;BME280;65;48.779;9.160;2017-07-01T10:40:37;98106.39;;;22.13;47.52
141;BME280;65;48.779;9.160;2017-07-01T10:43:03;98103.99;;;22.27;47.37
141;BME280;65;48.779;9.160;2017-07-01T10:45:29;98105.48;;;22.09;48.35
141;BME280;65;48.779;9.160;2017-07-01T10:47:55;98100.27;;;22.53;46.87
141;BME280;65;48.779;9.160;2017-07-01T10:50:21;98100.77;;;22.32;47.84
141;BME280;65;48.779;9.160;2017-07-01T10:52:47;98102.33;;;22.30;47.88
141;BME280;65;48.779;9.160;2017-07-01T10:55:13;98115.30;;;22.25;48.46
141;BME280;65;48.779;9.160;2017-07-01T10:57:39;98107.97;;;22.51;46.58
141;BME280;65;48.779;9.160;2017-07-01T11:00:04;98106.75;;;22.70;46.14
141;BME280;65;48.779;9.160;2017-07-01T11:02:30;98108.98;;;22.18;48.33
141;BME280;65;48.779;9.160;2017-07-01T11:04:56;98115.86;;;22.48;46.70
141;BME280;65;48.779;9.160;2017-07-01T11:07:22;98111.55;;;22.63;47.30
141;BME280;65;48.779;9.160;2017-07-01T11:09:48;98120.53;;;22.86;47.05
141;BME280;65;48.779;9.160;2017-07-01T11:12:14;98114.95;;;22.52;47.08
141;BME280;65;48.779;9.160;2017-07-01T11:14:40;98110.47;;;22.57;46.75
141;BME280;65;48.779;9.160;2017-07-01T11:17:06;98113.05;;;22.73;46.60
141;BME280;65;48.779;9.160;2017-07-01T11:19:32;98107.95;;;22.91;45.83
141;BME280;65;48.779;9.160;2017-07-01T11:21:58;98109.69;;;23.00;45.60
141;BME280;65;48.779;9.160;2017-07-01T11:24:24;98109.45;;;22.66;46.92
141;BME280;65;48.779;9.160;2017-07-01T11:26:50;98108.76;;;22.68;46.84
141;BME280;65;48.779;9.160;2017-07-01T11:29:16;98112.53;;;22.66;47.83
141;BME280;65;48.779;9.160;2017-07-01T11:31:41;98105.34;;;22.39;47.53
141;BME280;65;48.779;9.160;2017-07-01T11:34:07;98111.16;;;23.10;45.90
141;BME280;65;48.779;9.160;2017-07-01T11:36:33;98113.13;;;22.65;47.35
141;BME280;65;48.779;9.160;2017-07-01T11:38:59;98117.45;;;22.78;45.66
141;BME280;65;48.779;9.160;2017-07-01T11:41:25;98113.63;;;22.52;46.97
141;BME280;65;48.779;9.160;2017-07-01T11:43:51;98114.87;;;22.04;48.42
141;BME280;65;48.779;9.160;2017-07-01T11:46:17;98119.02;;;22.07;47.70
141;BME280;65;48.779;9.160;2017-07-01T11:48:43;98112.28;;;21.99;47.60
141;BME280;65;48.779;9.160;2017-07-01T11:51:09;98121.39;;;21.76;48.38
141;BME280;65;48.779;9.160;2017-07-01T11:53:34;98116.38;;;21.86;48.67
141;BME280;65;48.779;9.160;2017-07-01T11:56:00;98123.45;;;21.48;49.91
141;BME280;65;48.779;9.160;2017-07-01T11:58:26;98118.35;;;21.51;49.38
141;BME280;65;48.779;9.160;2017-07-01T12:00:52;98125.22;;;21.78;48.59
141;BME280;65;48.779;9.160;2017-07-01T12:03:18;98133.80;;;21.63;49.20
141;BME280;65;48.779;9.160;2017-07-01T12:05:44;98138.59;;;21.60;49.04
141;BME280;65;48.779;9.160;2017-07-01T12:08:10;98140.07;;;21.58;48.73
141;BME280;65;48.779;9.160;2017-07-01T12:10:36;98137.67;;;21.35;50.28
141;BME280;65;48.779;9.160;2017-07-01T12:13:02;98133.43;;;21.16;50.30
